Quality	Count	sample
36	860839.0	ERS185470
37	2406927.0	ERS185470
38	7907408.0	ERS185470
39	797765.0	ERS185470
2	14.0	ERS185082
3	2.0	ERS185082
4	2.0	ERS185082
5	13.0	ERS185082
6	2.0	ERS185082
7	2.0	ERS185082
8	32.0	ERS185082
9	1.0	ERS185082
10	22.0	ERS185082
11	4.0	ERS185082
12	2.0	ERS185082
13	12.0	ERS185082
14	2.0	ERS185082
15	14.0	ERS185082
16	31.0	ERS185082
17	189.0	ERS185082
18	895.0	ERS185082
19	470.0	ERS185082
20	756.0	ERS185082
21	2751.0	ERS185082
22	4283.0	ERS185082
23	5281.0	ERS185082
24	9278.0	ERS185082
25	12469.0	ERS185082
26	22557.0	ERS185082
27	44805.0	ERS185082
28	71875.0	ERS185082
29	115552.0	ERS185082
30	199572.0	ERS185082
31	317735.0	ERS185082
32	559161.0	ERS185082
33	974424.0	ERS185082
34	3756954.0	ERS185082
35	6267859.0	ERS185082
36	6353691.0	ERS185082
37	5643229.0	ERS185082
38	24742664.0	ERS185082
39	2403728.0	ERS185082
6	2.0	ERS185252
7	2.0	ERS185252
8	1.0	ERS185252
9	2.0	ERS185252
10	11.0	ERS185252
11	0.0	ERS185252
12	0.0	ERS185252
13	2.0	ERS185252
14	5.0	ERS185252
15	17.0	ERS185252
16	47.0	ERS185252
17	24.0	ERS185252
18	64.0	ERS185252
19	77.0	ERS185252
20	203.0	ERS185252
21	684.0	ERS185252
22	748.0	ERS185252
23	1131.0	ERS185252
24	5493.0	ERS185252
25	7321.0	ERS185252
26	17304.0	ERS185252
27	31741.0	ERS185252
28	72422.0	ERS185252
29	126693.0	ERS185252
30	204354.0	ERS185252
31	307409.0	ERS185252
32	433440.0	ERS185252
33	523848.0	ERS185252
34	628972.0	ERS185252
35	789411.0	ERS185252
36	1246895.0	ERS185252
37	3472637.0	ERS185252
38	10849829.0	ERS185252
39	1587559.0	ERS185252
2	21.0	ERS185036
3	3.0	ERS185036
4	0.0	ERS185036
5	3.0	ERS185036
6	0.0	ERS185036
7	2.0	ERS185036
8	6.0	ERS185036
9	8.0	ERS185036
10	2.0	ERS185036
11	58.0	ERS185036
12	11.0	ERS185036
13	9.0	ERS185036
14	708.0	ERS185036
15	11.0	ERS185036
16	67.0	ERS185036
17	87.0	ERS185036
18	108.0	ERS185036
19	261.0	ERS185036
20	293.0	ERS185036
21	1626.0	ERS185036
22	1315.0	ERS185036
23	2045.0	ERS185036
24	4711.0	ERS185036
25	7046.0	ERS185036
26	20903.0	ERS185036
27	35612.0	ERS185036
28	55747.0	ERS185036
29	108772.0	ERS185036
30	165067.0	ERS185036
31	229718.0	ERS185036
32	341970.0	ERS185036
33	520687.0	ERS185036
34	1029027.0	ERS185036
35	1410216.0	ERS185036
36	1881642.0	ERS185036
37	4174609.0	ERS185036
38	16423919.0	ERS185036
39	2073747.0	ERS185036
2	4.0	ERS185125
3	0.0	ERS185125
4	0.0	ERS185125
5	0.0	ERS185125
6	0.0	ERS185125
7	0.0	ERS185125
8	0.0	ERS185125
9	0.0	ERS185125
10	1.0	ERS185125
11	0.0	ERS185125
12	2.0	ERS185125
13	0.0	ERS185125
14	16.0	ERS185125
15	3.0	ERS185125
16	0.0	ERS185125
17	14.0	ERS185125
18	6.0	ERS185125
19	33.0	ERS185125
20	123.0	ERS185125
21	176.0	ERS185125
22	451.0	ERS185125
23	1204.0	ERS185125
24	1469.0	ERS185125
25	1732.0	ERS185125
26	8609.0	ERS185125
27	10061.0	ERS185125
28	21916.0	ERS185125
29	31446.0	ERS185125
30	52169.0	ERS185125
31	78077.0	ERS185125
32	110113.0	ERS185125
33	171465.0	ERS185125
34	336567.0	ERS185125
35	470056.0	ERS185125
36	675153.0	ERS185125
37	1495354.0	ERS185125
38	5683540.0	ERS185125
39	769560.0	ERS185125
2	19.0	ERS185102
3	3.0	ERS185102
4	4.0	ERS185102
5	5.0	ERS185102
6	3.0	ERS185102
7	4.0	ERS185102
8	6.0	ERS185102
9	7.0	ERS185102
10	15.0	ERS185102
11	21.0	ERS185102
12	28.0	ERS185102
13	43.0	ERS185102
14	22.0	ERS185102
15	50.0	ERS185102
16	66.0	ERS185102
17	200.0	ERS185102
18	232.0	ERS185102
19	1998.0	ERS185102
20	1612.0	ERS185102
21	856.0	ERS185102
22	2125.0	ERS185102
23	1772.0	ERS185102
24	7358.0	ERS185102
25	12411.0	ERS185102
26	27686.0	ERS185102
27	51239.0	ERS185102
28	95814.0	ERS185102
29	168583.0	ERS185102
30	277611.0	ERS185102
31	430646.0	ERS185102
32	644596.0	ERS185102
33	924812.0	ERS185102
34	1335765.0	ERS185102
35	2076939.0	ERS185102
36	3597943.0	ERS185102
37	10340683.0	ERS185102
38	21031737.0	ERS185102
39	1161844.0	ERS185102
5	1.0	ERS185473
6	0.0	ERS185473
7	3.0	ERS185473
8	7.0	ERS185473
9	2.0	ERS185473
10	50.0	ERS185473
11	42.0	ERS185473
12	4.0	ERS185473
13	26.0	ERS185473
14	25.0	ERS185473
15	16.0	ERS185473
16	5.0	ERS185473
17	27.0	ERS185473
18	66.0	ERS185473
19	73.0	ERS185473
20	137.0	ERS185473
21	1169.0	ERS185473
22	362.0	ERS185473
23	2634.0	ERS185473
24	1774.0	ERS185473
25	6610.0	ERS185473
26	8993.0	ERS185473
27	14668.0	ERS185473
28	35789.0	ERS185473
29	48296.0	ERS185473
30	85965.0	ERS185473
31	124808.0	ERS185473
32	158689.0	ERS185473
33	210199.0	ERS185473
34	310942.0	ERS185473
35	436920.0	ERS185473
36	703307.0	ERS185473
37	1604860.0	ERS185473
38	5219399.0	ERS185473
39	680742.0	ERS185473
2	7.0	ERS185068
3	0.0	ERS185068
4	0.0	ERS185068
5	0.0	ERS185068
6	2.0	ERS185068
7	0.0	ERS185068
8	0.0	ERS185068
9	26.0	ERS185068
10	2.0	ERS185068
11	3.0	ERS185068
12	3.0	ERS185068
13	11.0	ERS185068
14	14.0	ERS185068
15	20.0	ERS185068
16	13.0	ERS185068
17	80.0	ERS185068
18	45.0	ERS185068
19	1289.0	ERS185068
20	234.0	ERS185068
21	473.0	ERS185068
22	2249.0	ERS185068
23	2055.0	ERS185068
24	7008.0	ERS185068
25	12759.0	ERS185068
26	33390.0	ERS185068
27	58670.0	ERS185068
28	129799.0	ERS185068
29	253360.0	ERS185068
30	369448.0	ERS185068
31	565336.0	ERS185068
32	815050.0	ERS185068
33	1052726.0	ERS185068
34	1213430.0	ERS185068
35	1491736.0	ERS185068
36	2397374.0	ERS185068
37	6471426.0	ERS185068
38	22479692.0	ERS185068
39	3608819.0	ERS185068
