#Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	sample
>1k	0.1437906596739532	16.082126579254545	ERS185252
>5k	0.010443742650002918	3.588767196050524	ERS185252
>10k+	0.008476080991306716	16.30271912229843	ERS185252
1	57.01597562262389	1.9947376593764985	ERS185036
2	19.052557475893398	1.3331300039885494	ERS185036
3	6.394029151583098	0.6710966849834819	ERS185036
4	4.889101118026064	0.6841923874231879	ERS185036
5	1.413060941301742	0.24718386766411274	ERS185036
6	1.8849199754070889	0.39567024702777615	ERS185036
7	0.5334782619893244	0.13064836962267146	ERS185036
8	0.9869848408742852	0.2762419914525779	ERS185036
9	0.5273189313212672	0.16603708476264162	ERS185036
>10	4.262459273815728	2.980530349680026	ERS185036
>50	0.6558226428595499	1.6388507265769188	ERS185036
>100	0.9591873658933772	7.8318417801921285	ERS185036
>500	1.0717157064149012	34.71518478862647	ERS185036
>1k	0.3154399063107816	25.30905484822861	ERS185036
>5k	0.02474920805576745	6.070977961730838	ERS185036
>10k+	0.013199577629742642	15.554621248663551	ERS185036
1	50.69099949052473	0.6436874303625008	ERS185125
2	12.290808110121516	0.3121437244874813	ERS185125
3	5.3603896622812	0.20420284560183852	ERS185125
4	4.672437806009406	0.23732729795087046	ERS185125
5	2.085071798712737	0.13238390658341567	ERS185125
6	2.5631115350884484	0.1952823216352592	ERS185125
7	1.2085244979864835	0.10742309789119897	ERS185125
8	1.6510992411916436	0.1677286837533805	ERS185125
9	0.9722452675184474	0.11111239821641876	ERS185125
>10	10.873327767927217	2.9661184422327085	ERS185125
>50	1.9807239364022848	1.792562414548298	ERS185125
>100	2.527973759614325	7.308418291437511	ERS185125
>500	2.4107661703593584	28.242229704294328	ERS185125
>1k	0.5910972666743303	16.859325064451088	ERS185125
>5k	0.056495744461027286	5.133311645649304	ERS185125
>10k+	0.06492794512685225	35.5867427309044	ERS185125
1	50.41855997543067	3.1461043305586647	ERS185102
2	25.08759762009363	3.1309184377480084	ERS185102
3	7.465737003831313	1.3975798315151189	ERS185102
4	6.34024829900854	1.5825190279173649	ERS185102
5	1.613461623874141	0.5033978166506817	ERS185102
6	2.34386543293121	0.8775393655493214	ERS185102
7	0.4646478771403211	0.2029573017194245	ERS185102
8	1.0771806964457142	0.5377262429602919	ERS185102
9	0.5042292728989681	0.28317391648064544	ERS185102
>10	3.2164751329973167	3.685953800044435	ERS185102
>50	0.3061990790195052	1.3452667370684253	ERS185102
>100	0.3898298509049983	5.603834999378995	ERS185102
>500	0.5359878340740939	30.84864296327856	ERS185102
>1k	0.2126149136035305	31.18607069535837	ERS185102
>5k	0.017195306999334053	7.638543099452963	ERS185102
>10k+	0.006170080746819866	8.02977143431873	ERS185102
1	51.97413655209426	0.7137736289050267	ERS185473
2	12.398581611535555	0.34054555504815864	ERS185473
3	5.286497714601809	0.2178023287121304	ERS185473
4	4.40340185286742	0.2418920123394835	ERS185473
5	1.906895317307596	0.1309393172133228	ERS185473
6	2.6036464313152266	0.2145391094437268	ERS185473
7	1.1265217033209205	0.10829560167672887	ERS185473
8	1.6520027788069158	0.1814988910429816	ERS185473
9	0.8917608857513375	0.11022094856934776	ERS185473
>10	10.42360041209267	3.0615821163844403	ERS185473
>50	1.8937022450286205	1.8464064761870989	ERS185473
>100	2.3724749238325553	7.4625839856839695	ERS185473
>500	2.381523891988643	30.05211930791355	ERS185473
>1k	0.5643265595524037	16.903663978133242	ERS185473
>5k	0.060874876686410916	5.73239415344641	ERS185473
>10k+	0.060052243217675626	32.68174258930038	ERS185473
1	56.947899888454806	5.234330867990272	ERS185068
2	22.45722862637228	4.128284457856403	ERS185068
3	6.724806643194507	1.8543192846102756	ERS185068
4	5.402640166834988	1.986321269040624	ERS185068
5	1.453752771116115	0.668103917719901	ERS185068
6	1.7123586139550784	0.9443422743578156	ERS185068
7	0.4570197953717604	0.2940468355844294	ERS185068
8	0.8043586031587674	0.5914569736470346	ERS185068
9	0.3841972301026136	0.31781924923927746	ERS185068
>10	2.5201430693388414	4.214883868871741	ERS185068
>50	0.2315412435143467	1.4995291067730667	ERS185068
>100	0.3172214625883584	6.913429793259388	ERS185068
>500	0.4997573256333782	42.98700846617117	ERS185068
>1k	0.08045401527939587	17.063341459991378	ERS185068
>5k	0.004605596580678346	2.9805955886025286	ERS185068
>10k+	0.002014948504046777	8.322186586284822	ERS185068
