Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
9	38.07994087796403	39.0	39.0	39.0	35.0	39.0	ERS185102
10	38.08642540383808	39.0	39.0	39.0	36.0	39.0	ERS185102
11	38.10552872468187	39.0	39.0	39.0	37.0	39.0	ERS185102
12	38.015418360735715	39.0	39.0	39.0	35.0	39.0	ERS185102
13	37.941945016013605	39.0	38.0	39.0	35.0	39.0	ERS185102
14	39.45144456095707	41.0	39.0	41.0	37.0	41.0	ERS185102
15	39.38655652439102	41.0	39.0	41.0	37.0	41.0	ERS185102
16	39.45018366973453	41.0	39.0	41.0	37.0	41.0	ERS185102
17	39.42310556680998	41.0	39.0	41.0	36.0	41.0	ERS185102
18	39.45105241752803	41.0	39.0	41.0	37.0	41.0	ERS185102
19	39.42849911729046	41.0	39.0	41.0	37.0	41.0	ERS185102
20	39.327408995295045	40.0	39.0	41.0	37.0	41.0	ERS185102
21	39.34063713063808	40.0	39.0	41.0	37.0	41.0	ERS185102
22	39.32975639092619	40.0	39.0	41.0	36.0	41.0	ERS185102
23	39.255490590453675	40.0	39.0	41.0	36.0	41.0	ERS185102
24	39.343248056489855	40.0	39.0	41.0	36.0	41.0	ERS185102
25	39.282723141243785	40.0	39.0	41.0	36.0	41.0	ERS185102
26	39.19208179105185	40.0	39.0	41.0	36.0	41.0	ERS185102
27	39.17916566398568	40.0	39.0	41.0	36.0	41.0	ERS185102
28	38.93841254931338	40.0	39.0	41.0	35.0	41.0	ERS185102
1	32.70774495397453	34.0	31.0	34.0	31.0	34.0	ERS185473
2	32.927972445816906	34.0	31.0	34.0	31.0	34.0	ERS185473
3	32.742844227943344	34.0	31.0	34.0	31.0	34.0	ERS185473
4	36.22251359431519	37.0	37.0	37.0	35.0	37.0	ERS185473
5	36.2526064529892	37.0	37.0	37.0	35.0	37.0	ERS185473
6	36.19872035838664	37.0	37.0	37.0	35.0	37.0	ERS185473
7	36.198659674564894	37.0	37.0	37.0	35.0	37.0	ERS185473
8	36.27583655133635	37.0	37.0	37.0	35.0	37.0	ERS185473
9	38.07679910444763	39.0	39.0	39.0	35.0	39.0	ERS185473
10	38.06958860303978	39.0	39.0	39.0	35.0	39.0	ERS185473
11	38.093719949340404	39.0	39.0	39.0	35.0	39.0	ERS185473
12	38.075528368651106	39.0	39.0	39.0	35.0	39.0	ERS185473
13	38.018470664135755	39.0	39.0	39.0	35.0	39.0	ERS185473
14	39.666434390536644	41.0	40.0	41.0	37.0	41.0	ERS185473
15	39.63614280787978	41.0	40.0	41.0	37.0	41.0	ERS185473
16	39.63649034184874	41.0	40.0	41.0	37.0	41.0	ERS185473
17	39.25940770104623	41.0	40.0	41.0	36.0	41.0	ERS185473
18	39.43173442100789	41.0	40.0	41.0	36.0	41.0	ERS185473
19	39.57404927886944	41.0	40.0	41.0	36.0	41.0	ERS185473
20	39.58838273759218	41.0	40.0	41.0	37.0	41.0	ERS185473
21	39.625945073801816	41.0	40.0	41.0	37.0	41.0	ERS185473
22	39.60882902945294	41.0	40.0	41.0	37.0	41.0	ERS185473
23	39.546312375800646	41.0	40.0	41.0	37.0	41.0	ERS185473
24	39.56119116032936	41.0	40.0	41.0	37.0	41.0	ERS185473
25	39.42044834498815	41.0	40.0	41.0	36.0	41.0	ERS185473
26	39.49106218281051	41.0	40.0	41.0	36.0	41.0	ERS185473
27	39.638047837322226	41.0	40.0	41.0	37.0	41.0	ERS185473
28	39.436810560430935	41.0	40.0	41.0	36.0	41.0	ERS185473
1	32.96088777211866	34.0	31.0	34.0	31.0	34.0	ERS185068
2	33.16119519855089	34.0	34.0	34.0	31.0	34.0	ERS185068
3	33.23828389840697	34.0	34.0	34.0	31.0	34.0	ERS185068
4	36.526779543964025	37.0	37.0	37.0	35.0	37.0	ERS185068
5	36.44236442762118	37.0	37.0	37.0	35.0	37.0	ERS185068
